student_id,name,age,gender,location,program,term,coding_score,math_score,enrollment_date,attendance_percent
S0289,David,15,Male,Pune,Coding Basics,Q3-2024,54,72,2023-07-31,74.96
S0290,Laurie,15,Other,Hyderabad,Coding Advanced,Q3-2024,41,70,2024-09-18,76.64
S0291,Amanda,12,Male,Mumbai,Math Explorers,Q3-2024,61,69,2024-06-26,73.93
S0292,Caitlin,12,Female,Bengaluru,Math Explorers,Q1-2024,59,42,2024-11-25,93.97
S0293,Patricia,17,Male,Mumbai,Coding Advanced,Q2-2024,75,50,2024-08-06,98.34
S0294,Lisa,13,Female,Mumbai,Coding Advanced,Q4-2024,65,41,2025-03-11,83.69
S0295,William,15,Male,Mumbai,Coding Advanced,Q3-2024,88,85,2025-01-23,91.98
S0296,Rebecca,16,Male,Delhi,Math Explorers,Q2-2024,69,47,2024-03-30,81.11
S0297,Phyllis,17,Female,Hyderabad,Science Club,Q4-2024,77,47,2024-11-16,93.82
S0298,Michelle,16,Male,Delhi,Coding Basics,Q2-2024,60,47,2024-04-02,64.68
S0299,Jonathon,14,Other,Mumbai,Science Club,Q4-2024,78,48,2023-10-28,67.43
S0300,Mary,17,Other,Mumbai,Coding Advanced,Q4-2024,58,48,2023-11-20,93.68
S0301,Katie,16,Male,Delhi,Coding Basics,Q4-2024,48,52,2024-05-27,76.37
S0302,Todd,15,Female,Bengaluru,Science Club,Q2-2024,45,76,2023-10-21,71.68
S0303,Joshua,14,Male,Hyderabad,Math Explorers,Q2-2024,89,69,2023-06-18,82.91
S0304,Jennifer,14,Other,Delhi,Coding Basics,Q4-2024,74,53,2023-10-18,89.44
S0305,Joseph,17,Male,Delhi,Coding Basics,Q4-2024,56,62,2023-12-23,94.61
S0306,Patricia,12,Male,Mumbai,Math Explorers,Q4-2024,50,79,2023-06-20,92.54
S0307,Devon,18,Male,Hyderabad,Math Explorers,Q3-2024,78,74,2023-10-15,99.16
S0308,Patrick,14,Female,Hyderabad,Math Explorers,Q1-2024,48,88,2023-08-15,99.7
S0309,Jasmine,18,Other,Mumbai,Coding Advanced,Q2-2024,49,85,2023-06-07,90.46
S0310,Robert,17,Female,Bengaluru,Coding Advanced,Q3-2024,80,66,2024-01-01,63.02
S0311,Amy,18,Male,Bengaluru,Math Explorers,Q3-2024,69,100,2024-03-06,83.28
S0312,Bryan,18,Other,Pune,Science Club,Q3-2024,94,44,2025-01-24,98.73
S0313,Robert,18,Male,Bengaluru,Math Explorers,Q3-2024,93,58,2025-03-21,82.65
S0314,Kayla,15,Female,Pune,Coding Basics,Q1-2024,80,90,2024-10-10,64.97
S0315,Andrew,18,Male,Bengaluru,Science Club,Q1-2024,67,52,2025-03-03,66.36
S0316,Kathy,14,Male,Delhi,Math Explorers,Q1-2024,63,82,2024-02-08,75.85
S0317,Thomas,14,Other,Mumbai,Science Club,Q1-2024,85,46,2024-01-17,79.07
S0318,Kenneth,13,Other,Mumbai,Science Club,Q1-2024,40,84,2024-02-15,99.53
S0319,Melissa,15,Other,Mumbai,Science Club,Q1-2024,54,64,2025-01-27,64.13
S0320,Robert,14,Female,Mumbai,Science Club,Q2-2024,81,83,2024-11-19,81.22
S0321,Jessica,12,Other,Mumbai,Science Club,Q3-2024,86,53,2024-12-30,84.64
S0322,Carrie,15,Male,Pune,Coding Basics,Q2-2024,88,47,2023-10-07,98.53
S0323,Tracy,14,Male,Mumbai,Math Explorers,Q1-2024,55,75,2023-11-16,93.92
S0324,Ryan,17,Female,Mumbai,Coding Advanced,Q4-2024,58,81,2023-05-11,79.8
S0325,Paul,12,Male,Bengaluru,Coding Basics,Q1-2024,63,99,2024-09-19,75.47
S0326,Erin,18,Other,Bengaluru,Math Explorers,Q2-2024,88,70,2024-02-27,83.49
S0327,Jennifer,12,Female,Mumbai,Coding Basics,Q1-2024,100,90,2025-01-30,85.14
S0328,Tanner,16,Female,Bengaluru,Science Club,Q1-2024,80,74,2023-07-27,63.34
S0329,Tina,12,Other,Mumbai,Coding Advanced,Q3-2024,65,77,2024-06-06,87.95
S0330,Anthony,17,Male,Pune,Coding Advanced,Q1-2024,99,67,2024-02-19,84.49
S0331,Brittany,12,Female,Mumbai,Coding Basics,Q1-2024,85,48,2024-09-14,79.86
S0332,Anthony,14,Other,Hyderabad,Math Explorers,Q2-2024,63,48,2024-08-30,90.86
S0333,Roy,12,Female,Bengaluru,Math Explorers,Q1-2024,56,85,2025-02-20,78.21
S0334,Steven,14,Male,Bengaluru,Coding Advanced,Q3-2024,50,56,2023-05-28,69.14
S0335,Jorge,16,Male,Pune,Coding Basics,Q2-2024,42,70,2023-12-29,96.81
S0336,Jason,13,Male,Hyderabad,Science Club,Q2-2024,60,55,2023-12-28,70.85
S0337,Matthew,12,Other,Delhi,Coding Basics,Q1-2024,51,54,2025-03-02,62.76
S0338,Nicholas,15,Female,Delhi,Math Explorers,Q1-2024,75,69,2024-11-23,68.03
S0339,Stephanie,16,Female,Hyderabad,Coding Advanced,Q4-2024,63,77,2024-03-11,89.3
S0340,Johnny,16,Male,Mumbai,Coding Basics,Q4-2024,41,54,2023-06-21,98.04
S0341,Thomas,12,Other,Bengaluru,Math Explorers,Q1-2024,53,73,2024-11-20,79.68
S0342,Amber,12,Male,Delhi,Coding Basics,Q1-2024,98,54,2024-01-15,78.34
S0343,Jeffrey,17,Male,Hyderabad,Coding Basics,Q2-2024,80,92,2023-06-11,83.68
S0344,Kimberly,12,Female,Mumbai,Coding Advanced,Q3-2024,56,94,2024-09-06,88.03
S0345,Billy,17,Female,Delhi,Science Club,Q3-2024,54,44,2023-05-13,91.2
S0346,Stefanie,16,Male,Mumbai,Coding Basics,Q2-2024,68,69,2023-09-20,64.83
S0347,Mary,14,Male,Bengaluru,Math Explorers,Q4-2024,56,94,2024-08-13,66.3
S0348,Elijah,17,Female,Hyderabad,Coding Basics,Q2-2024,93,94,2023-07-26,63.65
S0349,Thomas,13,Female,Bengaluru,Coding Basics,Q3-2024,56,92,2023-07-16,98.08
S0350,Anne,18,Female,Hyderabad,Coding Advanced,Q1-2024,69,46,2023-10-05,60.48
S0351,Steven,18,Male,Mumbai,Coding Advanced,Q4-2024,63,83,2023-11-04,96.7
S0352,Katie,12,Male,Pune,Coding Advanced,Q4-2024,91,48,2023-08-27,64.9
S0353,Catherine,15,Male,Mumbai,Science Club,Q4-2024,71,41,2024-11-19,66.91
S0354,Jennifer,13,Male,Delhi,Math Explorers,Q4-2024,96,49,2024-12-13,85.89
S0355,Lori,15,Female,Hyderabad,Science Club,Q1-2024,45,57,2023-12-16,76.77
S0356,Daniel,17,Other,Mumbai,Coding Basics,Q4-2024,90,85,2023-05-08,81.78
S0357,Sarah,15,Female,Hyderabad,Math Explorers,Q4-2024,57,51,2024-07-09,83.88
S0358,Erica,12,Female,Pune,Science Club,Q3-2024,89,77,2024-02-04,64.01
S0359,Randy,17,Male,Delhi,Coding Basics,Q2-2024,76,94,2024-10-25,97.41
S0360,James,18,Male,Mumbai,Coding Advanced,Q3-2024,91,87,2024-07-21,88.14
S0361,Hannah,14,Other,Hyderabad,Coding Advanced,Q2-2024,93,91,2024-08-18,67.02
S0362,John,12,Male,Pune,Coding Advanced,Q2-2024,41,73,2024-10-11,73.27
S0363,Kendra,16,Male,Mumbai,Math Explorers,Q2-2024,98,91,2025-02-07,60.88
S0364,Gabrielle,16,Other,Mumbai,Coding Basics,Q3-2024,44,63,2025-01-03,73.46
S0365,David,14,Male,Mumbai,Science Club,Q4-2024,81,60,2024-07-01,68.93
S0366,Kimberly,16,Male,Bengaluru,Math Explorers,Q3-2024,48,51,2024-01-13,94.03
S0367,Amanda,18,Other,Pune,Coding Advanced,Q3-2024,98,91,2024-09-13,97.47
S0368,Mitchell,13,Female,Pune,Coding Advanced,Q3-2024,60,50,2024-05-15,77.87
S0369,Deborah,14,Male,Mumbai,Coding Basics,Q3-2024,56,90,2023-04-28,61.93
S0370,Melissa,15,Other,Bengaluru,Coding Advanced,Q4-2024,71,96,2025-01-16,81.84
S0371,Tracy,12,Female,Hyderabad,Coding Advanced,Q2-2024,68,44,2024-03-20,60.8
S0372,Susan,14,Male,Pune,Math Explorers,Q2-2024,96,64,2024-08-24,81.88
S0373,Patricia,12,Female,Hyderabad,Science Club,Q1-2024,67,100,2024-04-10,66.28
S0374,Jasmine,12,Female,Mumbai,Coding Advanced,Q4-2024,84,75,2024-03-22,71.9
S0375,Gregory,12,Male,Bengaluru,Science Club,Q2-2024,43,63,2024-05-28,63.51
S0376,Tammy,18,Other,Hyderabad,Science Club,Q2-2024,46,41,2023-11-14,85.53
S0377,Christina,12,Female,Pune,Math Explorers,Q4-2024,70,71,2025-04-02,85.67
S0378,Amanda,15,Male,Delhi,Science Club,Q3-2024,51,68,2024-04-28,77.59
S0379,Steven,14,Male,Delhi,Coding Basics,Q2-2024,88,84,2025-01-19,86.73
S0380,Jessica,18,Other,Bengaluru,Coding Advanced,Q1-2024,93,64,2023-11-13,82.91
S0381,Marcus,13,Female,Delhi,Coding Basics,Q4-2024,97,94,2023-10-26,64.81
S0382,Mariah,18,Female,Mumbai,Coding Advanced,Q2-2024,91,52,2023-06-25,76.93
S0383,Joshua,17,Female,Mumbai,Coding Advanced,Q3-2024,60,98,2024-04-03,75.52
S0384,John,15,Other,Delhi,Math Explorers,Q4-2024,98,95,2024-04-13,64.5
S0385,Ashley,13,Male,Hyderabad,Coding Basics,Q1-2024,76,89,2024-09-18,94.7
S0386,Nicholas,14,Female,Delhi,Science Club,Q4-2024,76,78,2023-05-11,66.89
S0387,Troy,15,Male,Hyderabad,Science Club,Q1-2024,65,96,2023-12-27,61.97
S0388,Hunter,15,Female,Delhi,Coding Basics,Q3-2024,92,90,2023-09-30,71.21
S0389,Michael,15,Other,Pune,Coding Advanced,Q2-2024,59,87,2023-11-05,70.78
S0390,Matthew,15,Other,Pune,Coding Advanced,Q4-2024,53,98,2025-03-02,90.38
S0391,Caitlyn,18,Female,Pune,Coding Advanced,Q1-2024,59,85,2025-03-02,91.22
S0392,Joshua,16,Other,Pune,Coding Advanced,Q2-2024,96,93,2023-04-26,69.98
S0393,Zachary,15,Male,Delhi,Coding Advanced,Q3-2024,63,92,2023-09-14,85.42
S0394,Christopher,12,Other,Pune,Coding Advanced,Q3-2024,71,78,2024-10-29,98.42
S0395,Richard,15,Other,Hyderabad,Math Explorers,Q3-2024,50,93,2024-06-23,71.4
S0396,Katherine,15,Male,Mumbai,Coding Advanced,Q2-2024,81,54,2024-10-06,86.06
S0397,Thomas,16,Male,Pune,Science Club,Q2-2024,81,51,2024-10-22,70.1
S0398,Travis,18,Female,Delhi,Science Club,Q4-2024,94,62,2024-12-24,68.73
S0399,Andre,14,Other,Hyderabad,Science Club,Q1-2024,40,72,2023-12-03,71.94
S0400,Jeffrey,12,Female,Pune,Math Explorers,Q3-2024,80,60,2024-10-07,86.24
S0401,John,17,Female,Mumbai,Coding Advanced,Q2-2024,97,43,2024-09-15,87.23
S0402,Bonnie,17,Male,Bengaluru,Math Explorers,Q3-2024,98,66,2024-04-20,89.47
S0403,Angela,16,Other,Hyderabad,Coding Advanced,Q3-2024,86,85,2024-01-11,96.26
S0404,Ronald,17,Female,Hyderabad,Math Explorers,Q2-2024,93,82,2024-11-18,63.9
S0405,Andrea,13,Other,Delhi,Coding Advanced,Q3-2024,81,45,2024-01-17,68.93
S0406,Jacqueline,18,Female,Bengaluru,Math Explorers,Q3-2024,56,77,2023-11-15,94.05
S0407,Kristopher,15,Male,Hyderabad,Coding Basics,Q4-2024,96,52,2023-10-15,81.19
S0408,David,15,Male,Mumbai,Coding Advanced,Q2-2024,61,66,2023-09-15,72.66
S0409,Leslie,17,Male,Pune,Science Club,Q3-2024,80,51,2024-11-16,60.19
S0410,Amanda,14,Male,Mumbai,Coding Advanced,Q4-2024,90,88,2024-12-01,84.58
S0411,Hannah,17,Female,Bengaluru,Science Club,Q4-2024,64,40,2023-09-14,89.23
S0412,Javier,12,Female,Hyderabad,Coding Advanced,Q1-2024,83,40,2024-04-29,87.74
S0413,Joshua,14,Female,Mumbai,Coding Basics,Q4-2024,72,77,2024-07-19,62.61
S0414,Tiffany,12,Female,Delhi,Science Club,Q3-2024,67,96,2024-05-30,99.85
S0415,Candice,15,Female,Mumbai,Coding Advanced,Q4-2024,41,54,2023-07-06,68.45
S0416,Marissa,12,Other,Hyderabad,Coding Advanced,Q1-2024,63,85,2023-12-05,95.06
S0417,Jeremy,14,Other,Hyderabad,Coding Basics,Q1-2024,82,46,2023-09-05,87.59
S0418,Kevin,15,Female,Bengaluru,Coding Basics,Q3-2024,70,84,2024-10-19,87.81
S0419,Amanda,17,Male,Delhi,Science Club,Q1-2024,82,73,2023-11-18,76.75
S0420,Brandon,12,Other,Hyderabad,Coding Basics,Q3-2024,47,90,2023-05-31,67.95
S0421,Angela,13,Female,Hyderabad,Coding Advanced,Q3-2024,85,66,2024-10-11,61.58
S0422,Sherry,15,Male,Bengaluru,Math Explorers,Q2-2024,40,40,2024-08-26,93.41
S0423,Miranda,17,Female,Mumbai,Coding Basics,Q1-2024,86,86,2024-05-04,85.77
S0424,Curtis,15,Female,Delhi,Science Club,Q1-2024,46,92,2023-04-28,94.09
S0425,Audrey,14,Other,Delhi,Science Club,Q1-2024,46,94,2024-04-17,94.08
S0426,Timothy,17,Other,Mumbai,Math Explorers,Q3-2024,97,68,2024-01-08,74.9
S0427,Jack,14,Male,Pune,Science Club,Q4-2024,69,57,2023-05-28,92.0
S0428,Johnny,17,Male,Pune,Coding Advanced,Q1-2024,100,94,2025-02-16,76.64
S0429,Tim,16,Female,Hyderabad,Science Club,Q2-2024,79,64,2025-01-16,94.5
S0430,Cameron,18,Other,Mumbai,Science Club,Q4-2024,47,96,2024-05-04,61.84
S0431,Charles,14,Other,Delhi,Coding Basics,Q2-2024,82,95,2024-08-19,77.31
S0432,Glenda,17,Male,Bengaluru,Math Explorers,Q4-2024,49,93,2023-08-14,85.74
S0433,Edward,13,Other,Bengaluru,Science Club,Q2-2024,44,88,2024-06-29,69.64
S0434,Stacy,14,Male,Hyderabad,Coding Advanced,Q4-2024,65,92,2023-06-24,78.36
S0435,Victoria,18,Other,Bengaluru,Coding Basics,Q4-2024,68,60,2023-07-20,89.81
S0436,Angela,12,Male,Bengaluru,Science Club,Q1-2024,75,75,2024-03-07,91.67
S0437,Catherine,16,Other,Delhi,Coding Advanced,Q4-2024,100,61,2024-12-23,92.66
S0438,Christine,18,Female,Delhi,Science Club,Q3-2024,85,68,2024-12-11,90.37
S0439,Alexandra,13,Male,Delhi,Math Explorers,Q3-2024,75,73,2024-04-02,61.83
S0440,Rebekah,13,Female,Mumbai,Science Club,Q1-2024,56,79,2023-12-05,64.83
S0441,Michelle,18,Female,Mumbai,Science Club,Q2-2024,85,61,2024-03-17,61.86
S0442,Kevin,17,Other,Hyderabad,Coding Basics,Q4-2024,69,82,2024-08-13,60.17
S0443,Brian,17,Male,Hyderabad,Science Club,Q4-2024,99,72,2024-11-13,89.22
S0444,Cory,13,Male,Bengaluru,Math Explorers,Q4-2024,66,78,2024-12-01,75.91
S0445,Jared,14,Female,Bengaluru,Coding Advanced,Q2-2024,66,78,2023-09-29,88.47
S0446,Joseph,16,Other,Mumbai,Coding Advanced,Q2-2024,79,85,2023-06-21,96.85
S0447,Eric,13,Other,Mumbai,Math Explorers,Q1-2024,88,62,2023-09-01,86.97
S0448,Andrea,18,Other,Delhi,Science Club,Q1-2024,73,46,2023-08-18,65.81
S0449,Aaron,17,Male,Mumbai,Math Explorers,Q2-2024,58,83,2024-04-02,93.58
S0450,Hannah,17,Female,Mumbai,Coding Basics,Q3-2024,92,68,2024-04-17,89.7
S0451,Kelly,16,Female,Mumbai,Math Explorers,Q1-2024,99,64,2023-10-15,98.27
S0452,Keith,17,Female,Hyderabad,Coding Basics,Q1-2024,87,56,2023-11-24,93.2
S0453,Jacqueline,17,Other,Delhi,Coding Advanced,Q2-2024,58,68,2024-04-05,67.48
S0454,Charles,13,Other,Hyderabad,Coding Basics,Q4-2024,42,67,2023-10-17,65.2
S0455,Sandra,16,Female,Pune,Math Explorers,Q4-2024,85,99,2024-12-20,66.15
S0456,Kylie,14,Other,Pune,Math Explorers,Q4-2024,90,76,2024-07-20,91.36
S0457,Donna,14,Other,Mumbai,Coding Advanced,Q1-2024,90,72,2025-04-13,81.72
S0458,James,15,Male,Delhi,Coding Advanced,Q2-2024,82,61,2023-07-17,71.74
S0459,Amy,18,Other,Hyderabad,Science Club,Q1-2024,47,82,2024-09-03,69.61
S0460,Edward,17,Other,Hyderabad,Coding Advanced,Q1-2024,83,96,2023-11-11,96.64
S0461,Margaret,12,Female,Delhi,Math Explorers,Q1-2024,98,73,2023-06-13,79.47
S0462,Brian,14,Other,Mumbai,Math Explorers,Q1-2024,100,46,2024-12-24,85.08
S0463,Kyle,13,Other,Mumbai,Science Club,Q1-2024,53,74,2024-11-20,89.88
S0464,Madison,13,Male,Bengaluru,Math Explorers,Q1-2024,45,44,2025-04-03,91.77
S0465,Keith,16,Male,Hyderabad,Coding Advanced,Q3-2024,66,64,2023-07-24,77.32
S0466,Taylor,12,Female,Pune,Coding Basics,Q1-2024,88,87,2023-12-11,74.31
S0467,Holly,16,Male,Delhi,Math Explorers,Q1-2024,58,88,2023-11-16,75.8
S0468,Vincent,17,Male,Bengaluru,Coding Advanced,Q2-2024,48,87,2024-05-06,98.41
S0469,Samuel,13,Female,Delhi,Coding Basics,Q2-2024,47,42,2024-07-26,81.49
S0470,Bill,12,Female,Mumbai,Math Explorers,Q2-2024,66,97,2024-03-19,67.36
S0471,Jessica,16,Female,Mumbai,Coding Basics,Q2-2024,82,91,2024-07-30,85.79
S0472,John,12,Female,Pune,Math Explorers,Q1-2024,52,86,2023-06-28,74.29
S0473,Jeremy,17,Other,Mumbai,Coding Basics,Q3-2024,79,44,2024-09-23,79.43
S0474,Mary,14,Other,Delhi,Coding Advanced,Q3-2024,91,60,2024-07-08,60.19
S0475,Brenda,13,Male,Bengaluru,Math Explorers,Q3-2024,48,83,2023-05-05,78.51
S0476,Yvonne,14,Female,Bengaluru,Coding Basics,Q2-2024,81,78,2024-09-22,94.35
S0477,Lori,13,Other,Mumbai,Math Explorers,Q1-2024,86,44,2024-07-09,92.51
S0478,Billy,16,Female,Hyderabad,Coding Advanced,Q1-2024,75,56,2024-11-26,74.63
S0479,Gregory,13,Other,Delhi,Coding Advanced,Q4-2024,72,72,2024-05-26,74.55
S0480,Denise,12,Other,Mumbai,Coding Advanced,Q2-2024,68,50,2025-03-30,89.44
S0481,Joshua,15,Female,Pune,Coding Advanced,Q4-2024,54,44,2024-07-16,69.36
S0482,Ryan,17,Male,Hyderabad,Math Explorers,Q4-2024,70,98,2025-01-10,61.6
S0483,Travis,17,Female,Pune,Math Explorers,Q3-2024,77,74,2023-06-28,86.15
S0484,Theodore,14,Other,Pune,Math Explorers,Q4-2024,98,54,2024-03-01,92.69
S0485,Mathew,14,Female,Bengaluru,Coding Basics,Q2-2024,68,50,2024-09-20,80.58
S0486,Daniel,14,Male,Mumbai,Coding Advanced,Q2-2024,63,78,2023-08-21,76.58
S0487,Mark,14,Other,Pune,Science Club,Q4-2024,70,53,2024-10-08,60.9
S0488,Tyler,12,Male,Hyderabad,Coding Advanced,Q2-2024,80,72,2024-09-14,62.24
S0489,Sierra,14,Male,Hyderabad,Science Club,Q1-2024,96,86,2025-01-09,68.66
S0490,Kathleen,16,Female,Bengaluru,Coding Advanced,Q2-2024,93,66,2023-05-17,84.93
S0491,Shawn,16,Female,Mumbai,Math Explorers,Q4-2024,78,77,2023-12-19,75.13
S0492,Johnny,13,Male,Pune,Coding Advanced,Q4-2024,92,49,2023-07-18,79.03
S0493,Tara,16,Other,Pune,Coding Basics,Q1-2024,70,82,2024-02-26,95.88
S0494,Michelle,18,Other,Bengaluru,Science Club,Q3-2024,95,42,2025-01-18,97.54
S0495,Vanessa,15,Female,Delhi,Coding Basics,Q4-2024,48,56,2024-09-10,96.4
S0496,Molly,12,Female,Hyderabad,Science Club,Q3-2024,52,40,2024-04-11,80.79
S0497,Robert,15,Other,Mumbai,Math Explorers,Q4-2024,63,46,2023-09-11,86.06
S0498,April,14,Female,Hyderabad,Science Club,Q3-2024,79,57,2024-08-14,76.53
S0499,Katherine,18,Other,Bengaluru,Coding Advanced,Q3-2024,75,75,2024-08-16,99.54
S0500,Scott,16,Female,Bengaluru,Coding Advanced,Q1-2024,87,54,2023-05-29,64.01
